"HIOKI E.E. CORPORATION,""IM3570"",""Ver. 3.11""";;
;;
"DATE,""17-12-15""";;
"TIME,""01:17:25""";;
;;
"SOURCE,""FREQ""";;
"TRIG,""REPEAT""";;
"DRAW,""REAL""";;
"TRIG DELAY,""0.0000"",""s""";;
"DCBIAS,""OFF""";;
;;
"V,""0.100"",""V""";;
"RANGE,""AUTO""";;
"SPEED,""SLOW""";;
"AVG,""OFF""";;
"POINT DELAY,""0.0000"",""s""";;
"No.,""FREQUENCY(Hz)"",""Z[]"",""OFF""";;
173;95.050E+03;65.99751E+03
174;95.138E+03;65.08958E+03
175;95.225E+03;65.37874E+03
176;95.313E+03;66.79214E+03
177;95.400E+03;68.93255E+03
178;95.488E+03;71.50131E+03
179;95.575E+03;74.42532E+03
180;95.663E+03;77.66297E+03
181;95.750E+03;81.17770E+03
182;95.838E+03;85.01745E+03
183;95.925E+03;89.07042E+03
184;96.013E+03;93.43913E+03
185;96.100E+03;97.89571E+03
186;96.188E+03;102.5024E+03
187;96.275E+03;107.7210E+03
188;96.363E+03;113.2832E+03
189;96.450E+03;119.2031E+03
190;96.538E+03;125.3033E+03
191;96.625E+03;130.4452E+03
192;96.713E+03;134.3612E+03
193;96.800E+03;134.8504E+03
194;96.888E+03;130.8667E+03
195;96.975E+03;122.7936E+03
196;97.063E+03;115.3879E+03
197;97.150E+03;112.4692E+03
198;97.238E+03;114.9850E+03
199;97.325E+03;122.3435E+03
200;97.413E+03;132.4990E+03
201;97.500E+03;139.7462E+03
202;97.588E+03;127.1329E+03
203;97.675E+03;99.98360E+03
204;97.763E+03;84.21802E+03
205;97.850E+03;84.21166E+03
206;97.938E+03;90.04159E+03
207;98.025E+03;96.29148E+03
208;98.113E+03;102.0950E+03
209;98.200E+03;107.3361E+03
210;98.288E+03;112.2016E+03
211;98.375E+03;117.0213E+03
212;98.463E+03;121.0869E+03
213;98.550E+03;124.9713E+03
214;98.638E+03;128.9279E+03
215;98.725E+03;132.6749E+03
216;98.813E+03;136.3291E+03
217;98.900E+03;139.6557E+03
218;98.988E+03;142.9709E+03
219;99.075E+03;146.2291E+03
220;99.163E+03;149.5702E+03
221;99.250E+03;153.1135E+03
222;99.338E+03;156.4423E+03
223;99.425E+03;160.1321E+03
224;99.513E+03;163.4462E+03
225;99.600E+03;166.9219E+03
226;99.688E+03;170.6246E+03
227;99.775E+03;173.8164E+03
228;99.863E+03;177.4916E+03
229;99.950E+03;180.6922E+03
230;100.04E+03;183.7778E+03
231;100.13E+03;187.3239E+03
232;100.21E+03;191.8651E+03
233;100.30E+03;194.3892E+03
234;100.39E+03;197.7906E+03
235;100.48E+03;201.1301E+03
236;100.56E+03;204.3819E+03
237;100.65E+03;207.9297E+03
238;100.74E+03;211.9656E+03
239;100.83E+03;214.4055E+03
240;100.91E+03;219.4244E+03
241;101.00E+03;223.9687E+03
242;101.09E+03;226.3687E+03
243;101.18E+03;231.0170E+03
244;101.26E+03;234.2081E+03
245;101.35E+03;238.0535E+03
246;101.44E+03;242.7956E+03
247;101.53E+03;246.5842E+03
248;101.61E+03;249.4568E+03
249;101.70E+03;252.8909E+03
250;101.79E+03;255.5937E+03
251;101.88E+03;260.3810E+03
252;101.96E+03;263.0158E+03
253;102.05E+03;265.1780E+03
254;102.14E+03;268.5170E+03
255;102.23E+03;272.2065E+03
256;102.31E+03;272.9343E+03
257;102.40E+03;276.3125E+03
258;102.49E+03;279.7403E+03
259;102.58E+03;281.6034E+03
260;102.66E+03;286.7199E+03
261;102.75E+03;290.1990E+03
262;102.84E+03;293.6020E+03
263;102.93E+03;299.2635E+03
264;103.01E+03;302.4323E+03
265;103.10E+03;305.8391E+03
266;103.19E+03;311.3065E+03
267;103.28E+03;314.4643E+03
268;103.36E+03;319.5812E+03
269;103.45E+03;322.7521E+03
270;103.54E+03;329.5278E+03
271;103.63E+03;329.7601E+03
272;103.71E+03;335.3572E+03
273;103.80E+03;340.4757E+03
274;103.89E+03;340.0981E+03
275;103.98E+03;344.7946E+03
276;104.06E+03;354.8334E+03
277;104.15E+03;354.3551E+03
278;104.24E+03;360.7923E+03
279;104.33E+03;365.6328E+03
280;104.41E+03;369.8202E+03
281;104.50E+03;375.3464E+03
282;104.59E+03;380.1176E+03
283;104.68E+03;384.7026E+03
284;104.76E+03;388.6126E+03
285;104.85E+03;393.0714E+03
286;104.94E+03;397.1441E+03
287;105.03E+03;405.5545E+03
288;105.11E+03;409.8310E+03
289;105.20E+03;413.7354E+03
290;105.29E+03;421.0574E+03
291;105.38E+03;427.6306E+03
292;105.46E+03;422.6573E+03
293;105.55E+03;436.7238E+03
294;105.64E+03;447.4319E+03
