"HIOKI E.E. CORPORATION,""IM3570"",""Ver. 3.11""";;;
;;;
"DATE,""18-01-25""";;;
"TIME,""22:58:38""";;;
;;;
"SOURCE,""FREQ""";;;
"TRIG,""REPEAT""";;;
"DRAW,""REAL""";;;
"TRIG DELAY,""0.0000"",""s""";;;
"DCBIAS,""OFF""";;;
;;;
"V,""0.100"",""V""";;;
"RANGE,""AUTO""";;;
"SPEED,""SLOW""";;;
"AVG,""OFF""";;;
"POINT DELAY,""0.0000"",""s""";;;
"No.,""FREQUENCY(Hz)"",""Z[]"",""Z[]""";;;
117;90.150E+03;494.6246E+00;494.6246E+00
118;90.238E+03;487.4547E+00;487.4547E+00
119;90.325E+03;480.5867E+00;480.5867E+00
120;90.413E+03;473.8505E+00;473.8505E+00
121;90.500E+03;467.4133E+00;467.4133E+00
122;90.588E+03;461.1130E+00;461.1130E+00
123;90.675E+03;454.9787E+00;454.9787E+00
124;90.763E+03;448.9438E+00;448.9438E+00
125;90.850E+03;443.1185E+00;443.1185E+00
126;90.938E+03;437.3685E+00;437.3685E+00
127;91.025E+03;431.8310E+00;431.8310E+00
128;91.113E+03;426.3427E+00;426.3427E+00
129;91.200E+03;421.0338E+00;421.0338E+00
130;91.288E+03;415.7729E+00;415.7729E+00
131;91.375E+03;410.6607E+00;410.6607E+00
132;91.463E+03;405.5724E+00;405.5724E+00
133;91.550E+03;400.6327E+00;400.6327E+00
134;91.638E+03;395.7200E+00;395.7200E+00
135;91.725E+03;390.9049E+00;390.9049E+00
136;91.813E+03;386.1109E+00;386.1109E+00
137;91.900E+03;381.4274E+00;381.4274E+00
138;91.988E+03;376.7049E+00;376.7049E+00
139;92.075E+03;372.0898E+00;372.0898E+00
140;92.163E+03;367.4412E+00;367.4412E+00
141;92.250E+03;362.8797E+00;362.8797E+00
142;92.338E+03;358.2703E+00;358.2703E+00
143;92.425E+03;353.7128E+00;353.7128E+00
144;92.513E+03;349.0957E+00;349.0957E+00
145;92.600E+03;344.5304E+00;344.5304E+00
146;92.688E+03;339.8532E+00;339.8532E+00
147;92.775E+03;335.2140E+00;335.2140E+00
148;92.863E+03;330.4937E+00;330.4937E+00
149;92.950E+03;325.7863E+00;325.7863E+00
150;93.038E+03;320.9914E+00;320.9914E+00
151;93.125E+03;316.1988E+00;316.1988E+00
152;93.213E+03;311.3244E+00;311.3244E+00
153;93.300E+03;306.5186E+00;306.5186E+00
154;93.388E+03;301.7331E+00;301.7331E+00
155;93.475E+03;297.1521E+00;297.1521E+00
156;93.563E+03;292.8553E+00;292.8553E+00
157;93.650E+03;289.1479E+00;289.1479E+00
158;93.738E+03;286.3585E+00;286.3585E+00
159;93.825E+03;285.0975E+00;285.0975E+00
160;93.913E+03;286.0961E+00;286.0961E+00
161;94.000E+03;290.3248E+00;290.3248E+00
162;94.088E+03;298.9117E+00;298.9117E+00
163;94.175E+03;312.3136E+00;312.3136E+00
164;94.263E+03;330.3476E+00;330.3476E+00
165;94.350E+03;350.7555E+00;350.7555E+00
166;94.438E+03;370.6762E+00;370.6762E+00
167;94.525E+03;386.3371E+00;386.3371E+00
168;94.613E+03;396.2969E+00;396.2969E+00
169;94.700E+03;400.3614E+00;400.3614E+00
170;94.788E+03;399.8961E+00;399.8961E+00
171;94.875E+03;396.4153E+00;396.4153E+00
172;94.963E+03;391.1496E+00;391.1496E+00
173;95.050E+03;385.1096E+00;385.1096E+00
174;95.138E+03;378.6062E+00;378.6062E+00
175;95.225E+03;372.2051E+00;372.2051E+00
176;95.313E+03;365.8980E+00;365.8980E+00
177;95.400E+03;359.9239E+00;359.9239E+00
178;95.488E+03;354.1611E+00;354.1611E+00
179;95.575E+03;348.7428E+00;348.7428E+00
180;95.663E+03;343.5638E+00;343.5638E+00
181;95.750E+03;338.6853E+00;338.6853E+00
182;95.838E+03;333.9085E+00;333.9085E+00
183;95.925E+03;329.4813E+00;329.4813E+00
184;96.013E+03;325.1839E+00;325.1839E+00
185;96.100E+03;321.1060E+00;321.1060E+00
186;96.188E+03;317.1249E+00;317.1249E+00
187;96.275E+03;313.3346E+00;313.3346E+00
188;96.363E+03;309.6026E+00;309.6026E+00
189;96.450E+03;306.0214E+00;306.0214E+00
190;96.538E+03;302.4980E+00;302.4980E+00
